date_local,latitude,longitude,parameter_name,arithmetic_mean
2015-08-17,40.816,-73.902,Ozone,0.037647
2015-08-18,40.816,-73.902,Ozone,0.028940999999999998
2015-08-19,40.816,-73.902,Ozone,0.019646999999999998
2015-08-20,40.816,-73.902,Ozone,0.022293999999999998
2015-08-21,40.816,-73.902,Ozone,0.042352999999999995
2015-08-22,40.816,-73.902,Ozone,0.040118
2015-08-23,40.816,-73.902,Ozone,0.024353
2015-08-24,40.816,-73.902,Ozone,0.050832999999999996
2015-08-25,40.816,-73.902,Ozone,0.043000000000000003
2015-08-26,40.816,-73.902,Ozone,0.036647
2015-08-27,40.816,-73.902,Ozone,0.028117999999999997
2015-08-28,40.816,-73.902,Ozone,0.025824
2015-08-29,40.816,-73.902,Ozone,0.047882
2015-08-30,40.816,-73.902,Ozone,0.045353
2015-08-31,40.816,-73.902,Ozone,0.045118
2015-09-01,40.816,-73.902,Ozone,0.039235
2015-09-02,40.816,-73.902,Ozone,0.042294
2015-09-03,40.816,-73.902,Ozone,0.046235
2015-09-04,40.816,-73.902,Ozone,0.027705999999999998
2015-09-05,40.816,-73.902,Ozone,0.019
2015-09-06,40.816,-73.902,Ozone,0.027881999999999997
2015-09-07,40.816,-73.902,Ozone,0.033588
2015-09-08,40.816,-73.902,Ozone,0.027646999999999998
2015-09-09,40.816,-73.902,Ozone,0.020294
2015-09-10,40.816,-73.902,Ozone,0.019308
2015-09-11,40.816,-73.902,Ozone,0.023646999999999998
2015-09-12,40.816,-73.902,Ozone,0.030528999999999997
2015-09-13,40.816,-73.902,Ozone,0.022588
2015-09-14,40.816,-73.902,Ozone,0.021176
2015-09-15,40.816,-73.902,Ozone,0.035176
2015-09-16,40.816,-73.902,Ozone,0.040824
2015-09-17,40.816,-73.902,Ozone,0.057176
2015-09-18,40.816,-73.902,Ozone,0.045940999999999996
2015-09-19,40.816,-73.902,Ozone,0.031824
2015-09-20,40.816,-73.902,Ozone,0.027353
2015-09-21,40.816,-73.902,Ozone,0.028235
2015-09-22,40.816,-73.902,Ozone,0.021647
2015-09-23,40.816,-73.902,Ozone,0.025235
2015-09-24,40.816,-73.902,Ozone,0.032118
2015-09-25,40.816,-73.902,Ozone,0.022588
2015-09-26,40.816,-73.902,Ozone,0.028117999999999997
2015-09-27,40.816,-73.902,Ozone,0.024176
2015-09-28,40.816,-73.902,Ozone,0.011941
2015-09-29,40.816,-73.902,Ozone,0.015764999999999998
2015-09-30,40.816,-73.902,Ozone,0.018352999999999998
2015-10-01,40.816,-73.902,Ozone,0.014882
2015-10-02,40.816,-73.902,Ozone,0.014412
2015-10-03,40.816,-73.902,Ozone,0.011941
2015-10-04,40.816,-73.902,Ozone,0.025353
2015-10-05,40.816,-73.902,Ozone,0.015882
2015-10-06,40.816,-73.902,Ozone,0.018824
2015-10-07,40.816,-73.902,Ozone,0.014412
2015-10-08,40.816,-73.902,Ozone,0.018357
2015-10-09,40.816,-73.902,Ozone,0.022352999999999998
2015-10-10,40.816,-73.902,Ozone,0.019118
2015-10-11,40.816,-73.902,Ozone,0.024412
2015-10-12,40.816,-73.902,Ozone,0.031941
2015-10-13,40.816,-73.902,Ozone,0.021882
2015-10-14,40.816,-73.902,Ozone,0.0165
2015-10-15,40.816,-73.902,Ozone,0.020176
2015-10-16,40.816,-73.902,Ozone,0.023587999999999998
2015-10-17,40.816,-73.902,Ozone,0.020881999999999998
2015-10-18,40.816,-73.902,Ozone,0.021176
2015-10-19,40.816,-73.902,Ozone,0.017765
2015-10-20,40.816,-73.902,Ozone,0.017882
2015-10-21,40.816,-73.902,Ozone,0.019118
2015-10-22,40.816,-73.902,Ozone,0.027143
2015-10-23,40.816,-73.902,Ozone,0.023471
2015-10-24,40.816,-73.902,Ozone,0.019941
2015-10-25,40.816,-73.902,Ozone,0.020940999999999998
2015-10-26,40.816,-73.902,Ozone,0.009059
2015-10-27,40.816,-73.902,Ozone,0.014941
2015-10-28,40.816,-73.902,Ozone,0.021412
2015-10-29,40.816,-73.902,Ozone,0.027059
2015-10-30,40.816,-73.902,Ozone,0.020824
2015-10-31,40.816,-73.902,Ozone,0.015705999999999998
2015-11-01,40.816,-73.902,Ozone,0.016059
2015-11-02,40.816,-73.902,Ozone,0.007587999999999999
2015-11-03,40.816,-73.902,Ozone,0.005
2015-11-04,40.816,-73.902,Ozone,0.011235
2015-11-05,40.816,-73.902,Ozone,0.006353
2015-11-06,40.816,-73.902,Ozone,0.011529
2015-11-07,40.816,-73.902,Ozone,0.022234999999999998
2015-11-08,40.816,-73.902,Ozone,0.015823999999999998
2015-11-09,40.816,-73.902,Ozone,0.008824
2015-11-10,40.816,-73.902,Ozone,0.019
2015-11-11,40.816,-73.902,Ozone,0.020471
2015-11-12,40.816,-73.902,Ozone,0.019462
2015-11-13,40.816,-73.902,Ozone,0.024176
2015-11-14,40.816,-73.902,Ozone,0.022941
2015-11-15,40.816,-73.902,Ozone,0.016294
2015-11-16,40.816,-73.902,Ozone,0.023528999999999998
2015-11-17,40.816,-73.902,Ozone,0.011588
2015-11-18,40.816,-73.902,Ozone,0.02225
2015-11-19,40.816,-73.902,Ozone,0.025117999999999998
2015-11-20,40.816,-73.902,Ozone,0.022882
2015-11-21,40.816,-73.902,Ozone,0.020353
2015-11-22,40.816,-73.902,Ozone,0.024059
2015-11-23,40.816,-73.902,Ozone,0.017
2015-11-24,40.816,-73.902,Ozone,0.010249999999999999
2015-11-25,40.816,-73.902,Ozone,0.005385
2015-11-26,40.816,-73.902,Ozone,0.011176
2015-11-27,40.816,-73.902,Ozone,0.015882
2015-11-28,40.816,-73.902,Ozone,0.007941
2015-11-29,40.816,-73.902,Ozone,0.018411999999999998
2015-11-30,40.816,-73.902,Ozone,0.014412
2015-12-01,40.816,-73.902,Ozone,0.014117999999999999
2015-12-02,40.816,-73.902,Ozone,0.0017059999999999998
2015-12-03,40.816,-73.902,Ozone,0.018600000000000002
2015-12-04,40.816,-73.902,Ozone,0.014294
2015-12-05,40.816,-73.902,Ozone,4.55e-4
2015-12-06,40.816,-73.902,Ozone,0.0037059999999999997
2015-12-07,40.816,-73.902,Ozone,0.005823999999999999
2015-12-08,40.816,-73.902,Ozone,0.004765
2015-12-09,40.816,-73.902,Ozone,0.018411999999999998
2015-12-10,40.816,-73.902,Ozone,0.006470999999999999
2015-12-11,40.816,-73.902,Ozone,0.002
2015-12-12,40.816,-73.902,Ozone,0.004235
2015-12-13,40.816,-73.902,Ozone,0.007764999999999999
2015-12-14,40.816,-73.902,Ozone,0.010059
2015-12-15,40.816,-73.902,Ozone,0.015293999999999999
2015-12-16,40.816,-73.902,Ozone,0.007941
2015-12-17,40.816,-73.902,Ozone,0.004235
2015-12-18,40.816,-73.902,Ozone,0.015882
2015-12-19,40.816,-73.902,Ozone,0.022411999999999998
2015-12-20,40.816,-73.902,Ozone,0.015470999999999999
2015-12-21,40.816,-73.902,Ozone,0.009471
2015-12-22,40.816,-73.902,Ozone,0.003231
