Patient_County_Code,Admission_Start_Care_Date,RESP
60,20150416,5
61,20150416,9
62,20150416,3
58,20150417,4
59,20150417,12
60,20150417,2
61,20150417,7
62,20150417,2
58,20150418,5
59,20150418,11
60,20150418,4
61,20150418,4
62,20150418,0
58,20150419,9
59,20150419,9
60,20150419,2
61,20150419,1
62,20150419,0
58,20150420,5
59,20150420,10
60,20150420,4
61,20150420,5
62,20150420,6
58,20150421,6
59,20150421,14
60,20150421,5
61,20150421,9
62,20150421,5
58,20150422,9
59,20150422,15
60,20150422,9
61,20150422,8
62,20150422,1
58,20150423,6
59,20150423,7
60,20150423,2
61,20150423,12
62,20150423,1
58,20150424,7
59,20150424,7
60,20150424,2
61,20150424,12
62,20150424,4
58,20150425,11
59,20150425,8
60,20150425,1
61,20150425,5
62,20150425,2
58,20150426,9
59,20150426,9
60,20150426,4
61,20150426,4
62,20150426,1
58,20150427,9
59,20150427,16
60,20150427,11
61,20150427,4
62,20150427,2
58,20150428,17
59,20150428,9
60,20150428,6
61,20150428,9
62,20150428,5
58,20150429,11
59,20150429,7
60,20150429,9
61,20150429,8
62,20150429,3
58,20150430,4
59,20150430,14
60,20150430,4
61,20150430,10
62,20150430,1
58,20150501,8
59,20150501,15
60,20150501,5
61,20150501,6
62,20150501,1
58,20150502,6
59,20150502,8
60,20150502,3
61,20150502,6
62,20150502,4
58,20150503,6
59,20150503,8
60,20150503,1
61,20150503,3
62,20150503,1
58,20150504,8
59,20150504,16
60,20150504,3
61,20150504,11
62,20150504,1
58,20150505,6
59,20150505,10
60,20150505,7
61,20150505,10
62,20150505,2
58,20150506,14
59,20150506,9
60,20150506,10
61,20150506,10
62,20150506,4
58,20150507,21
59,20150507,15
60,20150507,7
61,20150507,12
62,20150507,3
58,20150508,6
59,20150508,10
60,20150508,8
61,20150508,10
62,20150508,3
58,20150509,4
59,20150509,5
60,20150509,5
61,20150509,9
62,20150509,0
58,20150510,7
59,20150510,9
60,20150510,5
61,20150510,8
62,20150510,1
58,20150511,10
59,20150511,10
60,20150511,10
61,20150511,7
62,20150511,1
58,20150512,4
59,20150512,12
60,20150512,4
61,20150512,4
62,20150512,2
58,20150513,9
59,20150513,14
60,20150513,5
61,20150513,4
62,20150513,4
58,20150514,9
59,20150514,10
60,20150514,0
61,20150514,9
62,20150514,4
58,20150515,8
59,20150515,1
60,20150515,7
61,20150515,6
62,20150515,2
58,20150516,9
59,20150516,11
60,20150516,1
61,20150516,2
62,20150516,0
58,20150517,9
59,20150517,9
60,20150517,8
61,20150517,2
62,20150517,1
58,20150518,11
59,20150518,21
60,20150518,8
61,20150518,10
62,20150518,3
58,20150519,7
59,20150519,9
60,20150519,7
61,20150519,5
62,20150519,2
58,20150520,4
59,20150520,8
60,20150520,3
61,20150520,8
62,20150520,2
58,20150521,8
59,20150521,7
60,20150521,3
61,20150521,6
62,20150521,1
58,20150522,8
59,20150522,9
60,20150522,5
61,20150522,5
62,20150522,1
58,20150523,5
59,20150523,9
60,20150523,5
61,20150523,6
62,20150523,1
58,20150524,2
59,20150524,7
60,20150524,6
61,20150524,5
62,20150524,0
58,20150525,4
59,20150525,7
60,20150525,9
61,20150525,5
62,20150525,1
58,20150526,9
59,20150526,8
60,20150526,0
61,20150526,7
62,20150526,5
58,20150527,8
59,20150527,10
60,20150527,6
61,20150527,7
62,20150527,3
58,20150528,7
59,20150528,9
60,20150528,2
61,20150528,15
62,20150528,3
58,20150529,9
59,20150529,10
60,20150529,6
61,20150529,7
62,20150529,2
58,20150530,5
59,20150530,8
60,20150530,1
61,20150530,4
62,20150530,2
58,20150531,9
59,20150531,9
60,20150531,4
61,20150531,9
62,20150531,0
58,20150601,8
59,20150601,13
60,20150601,2
61,20150601,11
62,20150601,3
58,20150602,5
59,20150602,3
60,20150602,3
61,20150602,16
62,20150602,0
58,20150603,9
59,20150603,6
60,20150603,5
61,20150603,7
62,20150603,1
58,20150604,4
59,20150604,6
60,20150604,8
61,20150604,13
62,20150604,0
58,20150605,12
59,20150605,5
60,20150605,6
61,20150605,6
62,20150605,3
58,20150606,9
59,20150606,11
60,20150606,5
61,20150606,4
62,20150606,0
58,20150607,3
59,20150607,6
60,20150607,2
61,20150607,5
62,20150607,3
58,20150608,6
59,20150608,16
60,20150608,3
61,20150608,9
62,20150608,3
58,20150609,4
59,20150609,10
60,20150609,8
61,20150609,7
62,20150609,2
58,20150610,7
59,20150610,5
60,20150610,9
61,20150610,3
62,20150610,2
58,20150611,7
59,20150611,6
60,20150611,7
61,20150611,4
62,20150611,1
58,20150612,8
59,20150612,12
60,20150612,5
61,20150612,5
62,20150612,1
58,20150613,7
59,20150613,6
60,20150613,5
61,20150613,5
62,20150613,5
58,20150614,7
59,20150614,10
60,20150614,1
61,20150614,4
62,20150614,0
58,20150615,9
59,20150615,12
60,20150615,9
61,20150615,8
62,20150615,4
58,20150616,8
59,20150616,11
60,20150616,10
61,20150616,7
62,20150616,3
58,20150617,8
59,20150617,7
60,20150617,7
61,20150617,9
62,20150617,3
58,20150618,8
59,20150618,10
60,20150618,2
61,20150618,4
62,20150618,3
58,20150619,1
59,20150619,6
60,20150619,6
61,20150619,12
62,20150619,4
58,20150620,6
59,20150620,7
60,20150620,5
61,20150620,7
62,20150620,2
58,20150621,8
59,20150621,6
60,20150621,4
61,20150621,8
62,20150621,1
58,20150622,9
59,20150622,10
60,20150622,6
61,20150622,11
62,20150622,5
58,20150623,11
59,20150623,8
60,20150623,3
61,20150623,1
62,20150623,2
58,20150624,9
59,20150624,8
60,20150624,3
61,20150624,8
62,20150624,3
58,20150625,4
59,20150625,12
60,20150625,6
61,20150625,5
62,20150625,4
58,20150626,9
59,20150626,6
60,20150626,2
61,20150626,4
62,20150626,7
58,20150627,3
59,20150627,9
60,20150627,1
61,20150627,8
62,20150627,4
58,20150628,7
59,20150628,2
60,20150628,5
61,20150628,1
62,20150628,2
58,20150629,7
59,20150629,11
60,20150629,4
61,20150629,5
62,20150629,4
58,20150630,13
59,20150630,10
60,20150630,2
61,20150630,7
62,20150630,1
58,20150701,6
59,20150701,6
60,20150701,5
61,20150701,4
62,20150701,1
58,20150702,7
59,20150702,14
60,20150702,8
61,20150702,6
62,20150702,2
58,20150703,7
59,20150703,7
60,20150703,4
61,20150703,6
62,20150703,1
58,20150704,8
59,20150704,9
60,20150704,4
61,20150704,2
62,20150704,1
58,20150705,9
59,20150705,6
60,20150705,4
61,20150705,2
62,20150705,1
58,20150706,9
59,20150706,7
60,20150706,3
61,20150706,7
62,20150706,1
58,20150707,4
59,20150707,7
60,20150707,10
61,20150707,5
62,20150707,6
58,20150708,7
59,20150708,8
60,20150708,3
61,20150708,7
62,20150708,0
58,20150709,6
59,20150709,10
60,20150709,1
61,20150709,7
62,20150709,2
58,20150710,9
59,20150710,5
60,20150710,1
61,20150710,11
62,20150710,1
58,20150711,4
59,20150711,11
60,20150711,1
61,20150711,2
62,20150711,2
58,20150712,2
59,20150712,6
60,20150712,3
61,20150712,3
62,20150712,3
58,20150713,3
59,20150713,11
60,20150713,9
61,20150713,7
62,20150713,4
58,20150714,8
59,20150714,9
60,20150714,6
61,20150714,6
62,20150714,2
